Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
3225,"3 BHK 1908 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,1 Bathroom,1908 Sq.ft Built Up(177.44 Sq.m),"Jan 6, 2025 Available From",₹1.40 Crores
3226,"4+ BHK Apartment for Sale in Rachenahalli, Bangalore","Rachenahalli, Bangalore",4+ Bedrooms,3 Bathrooms,2120 Sq.ft Built Up(197.16 Sq.m),"Oct 22, 2024 Available From",₹1.65 Crores
3227,"3 BHK Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",3 Bedrooms,2 Bathrooms,1590 Sq.ft Built Up(147.87 Sq.m),"Oct 22, 2024 Available From",₹2.38 Crores
3228,"2 BHK Apartment for Sale in Kengeri, Bangalore","Kengeri, Bangalore",2 Bedrooms,2 Bathrooms,728 Sq.ft Built Up(67.70 Sq.m),"Oct 22, 2024 Available From",₹45 Lakhs
3229,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,2 Bathrooms,1839 Sq.ft Built Up(171.03 Sq.m),"Jan 1, 2027 Available From",₹2.09 Crores
3230,"4 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,4 Bathrooms,2989 Sq.ft Built Up(277.98 Sq.m),"Oct 22, 2024 Available From",₹4.50 Crores
3231,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,2 Bathrooms,1372 Sq.ft Built Up(127.60 Sq.m),"Oct 22, 2024 Available From",₹1.80 Crores
3232,"3 BHK 1384 Sqft Apartment for Sale in International Airport Road, Bangalore.","International Airport Road, Bangalore",3 Bedrooms,3 Bathrooms,1384 Sq.ft Built Up(128.71 Sq.m),"Sep 18, 2024 Available From",₹68.88 Lakhs
3233,"3 BHK 1457 Sqft Apartment for Sale in Thanisandra, Bangalore.","Thanisandra, Bangalore",3 Bedrooms,3 Bathrooms,1457 Sq.ft Built Up(135.50 Sq.m),"Sep 17, 2024 Available From",₹81.88 Lakhs
3234,"3 BHK 1440 Sqft Apartment for Sale in Thanisandra, Bangalore.","Thanisandra, Bangalore",3 Bedrooms,3 Bathrooms,1440 Sq.ft Built Up(133.92 Sq.m),"Sep 17, 2024 Available From",₹89.28 Lakhs
3235,"3 BHK 1200 Sqft Apartment for Sale in Sarjapur Road, Bangalore.","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1200 Sq.ft Built Up(111.60 Sq.m),"Sep 17, 2024 Available From",₹47.65 Lakhs
3236,"3 BHK 1810 Sqft Apartment for Sale in Kogilu, Bangalore.","Kogilu, Bangalore",3 Bedrooms,3 Bathrooms,1810 Sq.ft Built Up(168.33 Sq.m),"Sep 17, 2024 Available From",₹84.17 Lakhs
3237,"2 BHK 997 Sqft Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,997 Sq.ft Built Up(92.72 Sq.m),"Jan 14, 2025 Available From",₹76.59 Lakhs
3238,"3 BHK 1512 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1512 Sq.ft Built Up(140.62 Sq.m),"Jan 21, 2025 Available From",₹1.54 Crores
3239,"4 BHK 2491 Sq.ft, Apartment for Sale in Chikkavaderapura, Bangalore","Chikkavaderapura, Bangalore",4 Bedrooms,4 Bathrooms,2491 Sq.ft Built Up(231.66 Sq.m),"Dec 30, 2028 Available From",₹2.85 Crores
