Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
114,"2 BHK 1300 Sq. ft Apartment for Sale in Kudlu Gate, Bangalore","Kudlu Gate, Bangalore",2 Bedrooms,2 Bathrooms,1300 Sq.ft Built Up(120.90 Sq.m),"Jul 31, 2026 Available From",₹113 Crores
115,"2 BHK 1150 Sq. ft Apartment for Sale in Horamavu, Bangalore","Horamavu, Bangalore",2 Bedrooms,2 Bathrooms,1150 Sq.ft Built Up(106.95 Sq.m),"Jan 31, 2025 Available From",₹55 Lakhs
116,"4+ BHK 4100 Sq. ft Villa for Sale in Bommasandra, Bangalore","Bommasandra, Bangalore",4+ Bedrooms,5 Bathrooms,4100 Sq.ft Built Up(381.30 Sq.m),"Feb 15, 2025 Available From",₹1.85 Crores
117,"3 BHK 1700 Sq. ft Apartment for Sale in Gunjur, Bangalore","Gunjur, Bangalore",3 Bedrooms,3 Bathrooms,1700 Sq.ft Built Up(158.10 Sq.m),"Dec 31, 2028 Available From",₹1.70 Crores
118,"3 BHK 2104 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,2104 Sq.ft Built Up(195.67 Sq.m),"Nov 7, 2024 Available From",₹2.62 Crores
119,"3 BHK Villa for Sale in Sarjapur Attibele Road, Bangalore","Sarjapur Attibele Road, Bangalore",3 Bedrooms,3 Bathrooms,1996 Sq.ft Built Up(185.63 Sq.m),"Dec 31, 2025 Available From",₹1.35 Crores
120,"4 BHK 2968 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,3 Bathrooms,2968 Sq.ft Built Up(276.02 Sq.m),"Dec 31, 2028 Available From",₹4.07 Crores
121,"3 BHK 1596 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1596 Sq.ft Built Up(148.43 Sq.m),"Jun 30, 2028 Available From",₹2.99 Crores
122,"4+ BHK 3045 Sq.ft, Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",4+ Bedrooms,4 Bathrooms,3045 Sq.ft Built Up(283.19 Sq.m),"Jun 30, 2029 Available From",₹5.85 Crores
123,"3 BHK 1883 Sq.ft, Apartment for Sale in Hoodi, Bangalore","Hoodi, Bangalore",3 Bedrooms,3 Bathrooms,1883 Sq.ft Built Up(175.12 Sq.m),"Dec 1, 2024 Available From",₹1.64 Crores
124,"2 BHK 1050 Sq. ft Apartment for Sale in Bommasandra, Bangalore","Bommasandra, Bangalore",2 Bedrooms,2 Bathrooms,1050 Sq.ft Built Up(97.65 Sq.m),"Dec 31, 2026 Available From",₹76 Lakhs
125,"2 BHK 1140 Sq. ft Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",2 Bedrooms,2 Bathrooms,1140 Sq.ft Built Up(106.02 Sq.m),"Jan 31, 2025 Available From",₹1.20 Crores
126,"2 BHK 960 Sq. ft Apartment for Sale in Hunasamaranahalli, Bangalore","Hunasamaranahalli, Bangalore",2 Bedrooms,2 Bathrooms,960 Sq.ft Built Up(89.28 Sq.m),"Jan 30, 2025 Available From",₹44 Lakhs
127,"3 BHK 1675 Sq.ft, Apartment for Sale in Thirumenahalli, Bangalore","Thirumenahalli, Bangalore",3 Bedrooms,3 Bathrooms,1675 Sq.ft Built Up(155.78 Sq.m),"Dec 1, 2028 Available From",₹1.76 Crores
128,"4 BHK 2494 Sq.ft, Apartment for Sale in Kundalahalli, Bangalore","Kundalahalli, Bangalore",4 Bedrooms,4 Bathrooms,2494 Sq.ft Built Up(231.94 Sq.m),"Nov 7, 2024 Available From",₹3.19 Crores
129,"3 BHK Apartment for Sale in Yeshwanthpur, Bangalore","Yeshwanthpur, Bangalore",3 Bedrooms,3 Bathrooms,1595 Sq.ft Built Up(148.34 Sq.m),"Dec 31, 2024 Available From",₹2.90 Crores
130,"2 BHK Apartment for Sale in Nagavara, Bangalore","Nagavara, Bangalore",2 Bedrooms,2 Bathrooms,1092 Sq.ft Built Up(101.56 Sq.m),"Apr 30, 2026 Available From",₹73 Lakhs
131,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,986 Sq.ft Built Up(91.70 Sq.m),"Dec 31, 2027 Available From",₹84 Lakhs
132,"3 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1099 Sq.ft Built Up(102.21 Sq.m),"Jul 31, 2025 Available From",₹1.10 Crores
133,"3 BHK 1652 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1652 Sq.ft Built Up(153.64 Sq.m),"Dec 1, 2030 Available From",₹2.32 Crores
134,"3 BHK 1730 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1730 Sq.ft Built Up(160.89 Sq.m),"Dec 1, 2030 Available From",₹2.43 Crores
135,"3 BHK 2020 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2020 Sq.ft Built Up(187.86 Sq.m),"Dec 30, 2028 Available From",₹2.90 Crores
136,"2 BHK 1310 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,1310 Sq.ft Built Up(121.83 Sq.m),"Dec 1, 2030 Available From",₹1.85 Crores
137,"3 BHK 1571 Sq.ft, Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",3 Bedrooms,3 Bathrooms,1571 Sq.ft Built Up(146.10 Sq.m),"Jun 30, 2029 Available From",₹2.99 Crores
138,"3 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",3 Bedrooms,3 Bathrooms,1100 Sq.ft Built Up(102.30 Sq.m),"Nov 27, 2024 Available From",₹1.11 Crores
139,"3 BHK 1581 Sq.ft, Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,1581 Sq.ft Built Up(147.03 Sq.m),"Oct 1, 2029 Available From",₹2.25 Crores
140,"3 BHK Apartment for Sale in Muthanallur, Bangalore","Muthanallur, Bangalore",3 Bedrooms,3 Bathrooms,928 Sq.ft Built Up(86.30 Sq.m),"Nov 30, 2026 Available From",₹99.17 Lakhs
141,"3 BHK Apartment for Sale in Belathur Main Road, Bangalore","Belathur Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1550 Sq.ft Built Up(144.15 Sq.m),"Mar 20, 2027 Available From",₹1.83 Crores
142,"4 BHK 3543 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,3 Bathrooms,3543 Sq.ft Built Up(329.50 Sq.m),"Dec 31, 2027 Available From",₹5.25 Crores
143,"4+ BHK 3600 Sqft Villa for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",4+ Bedrooms,5 Bathrooms,3600 Sq.ft Built Up(334.80 Sq.m),"Feb 1, 2025 Available From",₹2.65 Crores
144,"2 BHK 1200 Sq.ft, Apartment for Sale in Thirumenahalli, Bangalore","Thirumenahalli, Bangalore",2 Bedrooms,2 Bathrooms,1200 Sq.ft Built Up(111.60 Sq.m),"Dec 1, 2028 Available From",₹1.27 Crores
145,"3 BHK Apartment for Sale in Belathur Main Road, Bangalore","Belathur Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1550 Sq.ft Built Up(144.15 Sq.m),"Mar 20, 2027 Available From",₹1.83 Crores
146,"3 BHK 1691 Sq.ft, Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,1691 Sq.ft Built Up(157.26 Sq.m),"Nov 1, 2026 Available From",₹1.56 Crores
147,"3 BHK 1476 Sq.ft, Apartment for Sale in Muthanallur, Bangalore","Muthanallur, Bangalore",3 Bedrooms,3 Bathrooms,1476 Sq.ft Built Up(137.27 Sq.m),"Nov 1, 2026 Available From",₹1.80 Crores
148,"3 BHK Apartment for Sale in Byrathi, Bangalore","Byrathi, Bangalore",3 Bedrooms,3 Bathrooms,1833 Sq.ft Built Up(170.47 Sq.m),"Jun 30, 2028 Available From",₹1.97 Crores
149,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,986 Sq.ft Built Up(91.70 Sq.m),"Dec 31, 2027 Available From",₹84 Lakhs
150,"3 BHK 2600 Sqft Villa for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,2600 Sq.ft Built Up(241.80 Sq.m),"Sep 19, 2025 Available From",₹2.20 Crores
151,"4+ BHK 3502 Sqft Villa for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",4+ Bedrooms,5 Bathrooms,3502 Sq.ft Built Up(325.69 Sq.m),"Dec 31, 2028 Available From",₹4.72 Crores
152,"3 BHK 2000 Sqft Villa for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",3 Bedrooms,3 Bathrooms,2000 Sq.ft Built Up(186.00 Sq.m),"Feb 1, 2025 Available From",₹1.85 Crores
153,"3 BHK 1730 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1730 Sq.ft Built Up(160.89 Sq.m),"Dec 1, 2030 Available From",₹2.43 Crores
154,"3 BHK 2020 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2020 Sq.ft Built Up(187.86 Sq.m),"Dec 30, 2028 Available From",₹2.90 Crores
155,"2 BHK 1310 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,1310 Sq.ft Built Up(121.83 Sq.m),"Dec 1, 2030 Available From",₹1.85 Crores
156,"3 BHK Apartment for Sale in Sudhama Nagar, Bangalore","Sudhama Nagar, Bangalore",3 Bedrooms,3 Bathrooms,2441 Sq.ft Built Up(227.01 Sq.m),"Aug 31, 2030 Available From",₹6.49 Crores
157,"2 BHK 1105 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1105 Sq.ft Built Up(102.77 Sq.m),"Jun 1, 2025 Available From",₹1.07 Crores
158,"2 BHK Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,2 Bathrooms,1220 Sq.ft Built Up(113.46 Sq.m),"Nov 6, 2024 Available From",₹96 Lakhs
159,"3 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1273 Sq.ft Built Up(118.39 Sq.m),"Nov 27, 2024 Available From",₹83.89 Lakhs
160,"2 BHK Apartment for Sale in Gopasandra, Bangalore","Gopasandra, Bangalore",2 Bedrooms,2 Bathrooms,1326 Sq.ft Built Up(123.32 Sq.m),"Nov 6, 2024 Available From",₹77 Lakhs
161,"4 BHK 2120 Sq.ft, Apartment for Sale in Rachenahalli, Bangalore","Rachenahalli, Bangalore",4 Bedrooms,4 Bathrooms,2120 Sq.ft Built Up(197.16 Sq.m),"Dec 1, 2027 Available From",₹2.38 Crores
162,"4+ BHK 3600 Sqft Villa for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",4+ Bedrooms,5 Bathrooms,3600 Sq.ft Built Up(334.80 Sq.m),"Feb 1, 2025 Available From",₹2.65 Crores
163,"3 BHK 2000 Sqft Villa for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",3 Bedrooms,3 Bathrooms,2000 Sq.ft Built Up(186.00 Sq.m),"Feb 1, 2025 Available From",₹1.90 Crores
164,"3 BHK 2600 Sqft Villa for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,2600 Sq.ft Built Up(241.80 Sq.m),"Sep 19, 2025 Available From",₹2.20 Crores
165,"3 BHK 2530 Sqft Villa for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2530 Sq.ft Built Up(235.29 Sq.m),"Feb 1, 2025 Available From",₹2.50 Crores
166,"3 BHK 1600 Sqft Villa for Sale in Bannerghatta Jigani Road, Bangalore","Bannerghatta Jigani Road, Bangalore",3 Bedrooms,3 Bathrooms,1600 Sq.ft Built Up(148.80 Sq.m),"Dec 31, 2025 Available From",₹1.05 Crores
167,"3 BHK 2414 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2414 Sq.ft Built Up(224.50 Sq.m),"Dec 1, 2028 Available From",₹2.90 Crores
168,"2 BHK Apartment for Sale in Budigere Cross, Bangalore","Budigere Cross, Bangalore",2 Bedrooms,2 Bathrooms,826 Sq.ft Built Up(76.82 Sq.m),"Jun 30, 2027 Available From",₹1.42 Crores
169,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,673 Sq.ft Built Up(62.59 Sq.m),"Dec 31, 2027 Available From",₹1.12 Crores
170,"4 BHK Apartment for Sale in HSR Layout, Bangalore","HSR Layout, Bangalore",4 Bedrooms,4 Bathrooms,2443 Sq.ft Built Up(227.20 Sq.m),"Jul 31, 2026 Available From",₹2.57 Crores
171,"4 BHK 3153 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4 Bedrooms,4 Bathrooms,3153 Sq.ft Built Up(293.23 Sq.m),"Nov 7, 2024 Available From",₹3.97 Crores
172,"3 BHK Apartment for Sale in Jayanagar, Bangalore","Jayanagar, Bangalore",3 Bedrooms,3 Bathrooms,2037 Sq.ft Built Up(189.44 Sq.m),"Dec 9, 2024 Available From",₹3.24 Crores
173,"3 BHK 2530 Sqft Villa for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2530 Sq.ft Built Up(235.29 Sq.m),"Feb 1, 2025 Available From",₹2.50 Crores
174,"4+ BHK 3502 Sqft Villa for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",4+ Bedrooms,5 Bathrooms,3502 Sq.ft Built Up(325.69 Sq.m),"Dec 31, 2028 Available From",₹4.73 Crores
175,"4+ BHK 3700 Sqft Villa for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",4+ Bedrooms,5 Bathrooms,3700 Sq.ft Built Up(344.10 Sq.m),"Feb 1, 2025 Available From",₹5.15 Crores
176,"3 BHK 1600 Sqft Villa for Sale in Bannerghatta Jigani Road, Bangalore","Bannerghatta Jigani Road, Bangalore",3 Bedrooms,3 Bathrooms,1600 Sq.ft Built Up(148.80 Sq.m),"Dec 31, 2025 Available From",₹1.05 Crores
177,"3 BHK 1935 Sqft Apartment for Sale in Hebbal, Bangalore","Hebbal, Bangalore",3 Bedrooms,3 Bathrooms,1935 Sq.ft Built Up(179.96 Sq.m),"Feb 1, 2025 Available From",₹3.25 Crores
178,"4 BHK 3353 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",4 Bedrooms,4 Bathrooms,3353 Sq.ft Built Up(311.83 Sq.m),"Sep 29, 2027 Available From",₹5.65 Crores
179,"2 BHK 1000 Sqft Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1000 Sq.ft Built Up(93.00 Sq.m),"Feb 3, 2025 Available From",₹76 Lakhs
180,"4 BHK 2203 Sqft Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",4 Bedrooms,4 Bathrooms,2203 Sq.ft Built Up(204.88 Sq.m),"Jan 6, 2026 Available From",₹3.20 Crores
181,"4 BHK 3750 Sqft Apartment for Sale in Old Madras Road, Bangalore","Old Madras Road, Bangalore",4 Bedrooms,4 Bathrooms,3750 Sq.ft Built Up(348.75 Sq.m),"Feb 1, 2025 Available From",₹4.25 Crores
182,"4+ BHK 2650 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4+ Bedrooms,5 Bathrooms,2650 Sq.ft Built Up(246.45 Sq.m),"Feb 1, 2025 Available From",₹4.70 Crores
183,"3 BHK 1514 Sqft Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",3 Bedrooms,3 Bathrooms,1514 Sq.ft Built Up(140.80 Sq.m),"Jan 7, 2026 Available From",₹2.10 Crores
184,"2 BHK 1240 Sqft Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",2 Bedrooms,2 Bathrooms,1240 Sq.ft Built Up(115.32 Sq.m),"Feb 11, 2026 Available From",₹1.60 Crores
185,"2 BHK 1300 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1300 Sq.ft Built Up(120.90 Sq.m),"Dec 31, 2028 Available From",₹1.28 Crores
186,"2 BHK 1018 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1018 Sq.ft Built Up(94.67 Sq.m),"Feb 1, 2025 Available From",₹91 Lakhs
187,"3 BHK 2100 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",3 Bedrooms,3 Bathrooms,2100 Sq.ft Built Up(195.30 Sq.m),"Feb 1, 2025 Available From",₹2.40 Crores
188,"4 BHK Apartment for Sale in Jayanagar, Bangalore","Jayanagar, Bangalore",4 Bedrooms,4 Bathrooms,5219 Sq.ft Built Up(485.37 Sq.m),"Dec 9, 2024 Available From",₹8.63 Crores
189,"4 BHK 3153 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4 Bedrooms,4 Bathrooms,3153 Sq.ft Built Up(293.23 Sq.m),"Nov 7, 2024 Available From",₹3.97 Crores
190,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1800 Sq.ft Built Up(167.40 Sq.m),"Oct 2, 2026 Available From",₹2.77 Crores
191,"3 BHK 1275 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1275 Sq.ft Built Up(118.58 Sq.m),"Dec 31, 2028 Available From",₹2.80 Crores
192,"4+ BHK 3045 Sq.ft, Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",4+ Bedrooms,4 Bathrooms,3045 Sq.ft Built Up(283.19 Sq.m),"Jun 30, 2029 Available From",₹5.85 Crores
193,"3 BHK 1281 Sq.ft, Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",3 Bedrooms,3 Bathrooms,1281 Sq.ft Built Up(119.13 Sq.m),"Nov 23, 2024 Available From",₹1.18 Crores
194,"2 BHK 1240 Sqft Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",2 Bedrooms,2 Bathrooms,1240 Sq.ft Built Up(115.32 Sq.m),"Feb 11, 2026 Available From",₹1.60 Crores
195,"2 BHK 1345 Sqft Apartment for Sale in Chikkavaderapura, Bangalore","Chikkavaderapura, Bangalore",2 Bedrooms,2 Bathrooms,1345 Sq.ft Built Up(125.08 Sq.m),"Feb 1, 2025 Available From",₹1.39 Crores
196,"2 BHK 1300 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1300 Sq.ft Built Up(120.90 Sq.m),"Dec 31, 2028 Available From",₹1.28 Crores
197,"2 BHK 1018 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1018 Sq.ft Built Up(94.67 Sq.m),"Feb 1, 2025 Available From",₹91 Lakhs
198,"3 BHK 2100 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",3 Bedrooms,3 Bathrooms,2100 Sq.ft Built Up(195.30 Sq.m),"Feb 1, 2025 Available From",₹2.40 Crores
199,"2 BHK 883 Sqft Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,2 Bathrooms,883 Sq.ft Built Up(82.12 Sq.m),"Dec 31, 2027 Available From",₹67.90 Lakhs
200,"3 BHK 2071 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2071 Sq.ft Built Up(192.60 Sq.m),"Feb 1, 2025 Available From",₹3.60 Crores
201,"3 BHK 1622 Sqft Apartment for Sale in Aavalahalli, Bangalore","Aavalahalli, Bangalore",3 Bedrooms,3 Bathrooms,1622 Sq.ft Built Up(150.85 Sq.m),"May 31, 2027 Available From",₹1.70 Crores
202,"3 BHK 1680 Sqft Apartment for Sale in Chikkavaderapura, Bangalore","Chikkavaderapura, Bangalore",3 Bedrooms,3 Bathrooms,1680 Sq.ft Built Up(156.24 Sq.m),"Dec 1, 2029 Available From",₹1.71 Crores
203,"2 BHK 1090 Sqft Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",2 Bedrooms,2 Bathrooms,1090 Sq.ft Built Up(101.37 Sq.m),"Jul 31, 2027 Available From",₹1.23 Crores
204,"2 BHK 1241 Sqft Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",2 Bedrooms,2 Bathrooms,1241 Sq.ft Built Up(115.41 Sq.m),"Dec 31, 2028 Available From",₹1.13 Crores
205,"2 BHK 1051 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1051 Sq.ft Built Up(97.74 Sq.m),"Feb 1, 2025 Available From",₹1.10 Crores
206,"3 BHK 1818 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1818 Sq.ft Built Up(169.07 Sq.m),"Jun 29, 2028 Available From",₹2.64 Crores
207,"4+ BHK 2168 Sqft Apartment for Sale in Aavalahalli, Bangalore","Aavalahalli, Bangalore",4+ Bedrooms,5 Bathrooms,2168 Sq.ft Built Up(201.62 Sq.m),"May 31, 2027 Available From",₹2.38 Crores
208,"2 BHK 1020 Sqft Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,2 Bathrooms,1020 Sq.ft Built Up(94.86 Sq.m),"Feb 1, 2025 Available From",₹80 Lakhs
209,"4 BHK Villa for Sale in Sarjapur Attibele Road, Bangalore","Sarjapur Attibele Road, Bangalore",4 Bedrooms,4 Bathrooms,3710 Sq.ft Built Up(345.03 Sq.m),"Dec 31, 2025 Available From",₹2.49 Crores
210,"4 BHK 3543 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,3 Bathrooms,3543 Sq.ft Built Up(329.50 Sq.m),"Dec 31, 2027 Available From",₹5.25 Crores
211,"4+ BHK 7825 Sq.ft, Apartment for Sale in Hebbal, Bangalore","Hebbal, Bangalore",4+ Bedrooms,5 Bathrooms,7825 Sq.ft Built Up(727.73 Sq.m),"Nov 30, 2024 Available From",₹15 Crores
212,"4 BHK 3040 Sq.ft, Villa for Sale in Budigere Cross, Bangalore","Budigere Cross, Bangalore",4 Bedrooms,4 Bathrooms,3040 Sq.ft Built Up(282.72 Sq.m),"Nov 30, 2024 Available From",₹1.99 Crores
213,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1110 Sq.ft Built Up(103.23 Sq.m),"Nov 27, 2024 Available From",₹98.63 Lakhs
214,"4 BHK 3012 Sq.ft, Apartment for Sale in Budigere Cross, Bangalore","Budigere Cross, Bangalore",4 Bedrooms,3 Bathrooms,3012 Sq.ft Built Up(280.12 Sq.m),"Jan 31, 2029 Available From",₹3.15 Crores
215,"2 BHK 1020 Sqft Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,2 Bathrooms,1020 Sq.ft Built Up(94.86 Sq.m),"Feb 1, 2025 Available From",₹80 Lakhs
216,"3 BHK 1935 Sqft Apartment for Sale in Hebbal, Bangalore","Hebbal, Bangalore",3 Bedrooms,3 Bathrooms,1935 Sq.ft Built Up(179.96 Sq.m),"Feb 1, 2025 Available From",₹3.25 Crores
217,"4 BHK 3353 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",4 Bedrooms,4 Bathrooms,3353 Sq.ft Built Up(311.83 Sq.m),"Sep 29, 2027 Available From",₹5.65 Crores
218,"3 BHK 1990 Sqft Apartment for Sale in Chikkavaderapura, Bangalore","Chikkavaderapura, Bangalore",3 Bedrooms,3 Bathrooms,1990 Sq.ft Built Up(185.07 Sq.m),"Dec 1, 2029 Available From",₹2.01 Crores
219,"2 BHK 1000 Sqft Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1000 Sq.ft Built Up(93.00 Sq.m),"Feb 3, 2025 Available From",₹76 Lakhs
220,"4 BHK 2203 Sqft Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",4 Bedrooms,4 Bathrooms,2203 Sq.ft Built Up(204.88 Sq.m),"Jan 6, 2026 Available From",₹3.20 Crores
221,"4 BHK 3750 Sqft Apartment for Sale in Old Madras Road, Bangalore","Old Madras Road, Bangalore",4 Bedrooms,4 Bathrooms,3750 Sq.ft Built Up(348.75 Sq.m),"Feb 1, 2025 Available From",₹4.25 Crores
222,"3 BHK 1389 Sqft Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1389 Sq.ft Built Up(129.18 Sq.m),"Feb 1, 2025 Available From",₹90 Lakhs
223,"2 BHK 1062 Sqft Apartment for Sale in International Airport Road, Bangalore","International Airport Road, Bangalore",2 Bedrooms,2 Bathrooms,1062 Sq.ft Built Up(98.77 Sq.m),"Oct 31, 2026 Available From",₹1.24 Crores
224,"4+ BHK 2650 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4+ Bedrooms,5 Bathrooms,2650 Sq.ft Built Up(246.45 Sq.m),"Feb 1, 2025 Available From",₹4.70 Crores
225,"3 BHK 1870 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1870 Sq.ft Built Up(173.91 Sq.m),"Feb 1, 2025 Available From",₹2.40 Crores
226,"2 BHK 1345 Sqft Apartment for Sale in Chikkavaderapura, Bangalore","Chikkavaderapura, Bangalore",2 Bedrooms,2 Bathrooms,1345 Sq.ft Built Up(125.08 Sq.m),"Feb 1, 2025 Available From",₹1.39 Crores
227,"2 BHK 1300 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1300 Sq.ft Built Up(120.90 Sq.m),"Dec 31, 2028 Available From",₹1.28 Crores
228,"3 BHK 2100 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",3 Bedrooms,3 Bathrooms,2100 Sq.ft Built Up(195.30 Sq.m),"Feb 1, 2025 Available From",₹2.40 Crores
